session_id,timestamp,action,engine_decision,reason,confidence,close,selected_style,regime
BACKTEST_20260116_052512,2025-12-10 09:45:00,BUY_PUT,EXECUTED,REMR selected because location NEAR_RESISTANCE triggers BUY_PUT. ORE rejected due to false expansion. ITC/VBD/LSRM ineligible.,0.48,25915.80078125,REMR,
BACKTEST_20260116_052512,2025-12-10 10:00:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.25,25884.5,NONE,
BACKTEST_20260116_052512,2025-12-10 10:15:00,HOLD,EXECUTED,Market cooling period (10:00-10:30),0.25,25930.150390625,NONE,
BACKTEST_20260116_052512,2025-12-10 10:30:00,HOLD,EXECUTED,Market cooling period (10:00-10:30),0.25,25930.25,NONE,
BACKTEST_20260116_052512,2025-12-10 10:45:00,BUY_PUT,MODIFIED,Target capped by Support,0.48,25917.25,REMR,
BACKTEST_20260116_052512,2025-12-10 11:00:00,HOLD,EXECUTED,Style eligibility matrix shows no eligible styles; confidence below minimum thresholds for all styles.,0.25,25824.25,NONE,
BACKTEST_20260116_052512,2025-12-10 11:15:00,HOLD,BLOCKED,Too close to Pivot (6pts),0.48,25877.0,REMR,
BACKTEST_20260116_052512,2025-12-10 11:30:00,BUY_CALL,EXECUTED,(Target Capped) (SL Capped) REMR selected because location is OPTIMAL_BOTTOM with failure to extend. REMR rejected others due to style eligibility false or insufficient confidence.,0.48,25845.650390625,REMR,
BACKTEST_20260116_052512,2025-12-10 11:45:00,HOLD,BLOCKED,Confidence 0.25 below 0.45,0.25,25836.900390625,REMR,
BACKTEST_20260116_052512,2025-12-10 12:00:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.25,25834.650390625,NONE,
BACKTEST_20260116_052512,2025-12-10 12:15:00,HOLD,EXECUTED,No style eligible per matrix; confidence below minimum thresholds.,0.0,25830.400390625,NONE,
BACKTEST_20260116_052512,2025-12-10 12:30:00,HOLD,EXECUTED,Style eligibility all false; no style selected. Confidence below minimum for any trade.,0.25,25805.349609375,NONE,
BACKTEST_20260116_052512,2025-12-10 12:45:00,HOLD,EXECUTED,No style eligible per matrix; confidence below minimum thresholds.,0.0,25774.349609375,NONE,
BACKTEST_20260116_052512,2025-12-10 13:00:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.0,25791.80078125,NONE,
BACKTEST_20260116_052512,2025-12-10 13:15:00,HOLD,EXECUTED,No style eligible per matrix; all false. Confidence below minimum thresholds.,0.0,25802.0,NONE,
BACKTEST_20260116_052512,2025-12-10 13:30:00,HOLD,EXECUTED,"No style eligible per matrix; all false. REMR rejected due to eligibility, ORE rejected similarly. No action possible.",0.0,25834.099609375,NONE,
BACKTEST_20260116_052512,2025-12-10 13:45:00,HOLD,EXECUTED,"No style eligible per matrix; all false. REMR rejected due to location not extreme, others ineligible.",0.0,25824.25,NONE,
BACKTEST_20260116_052512,2025-12-10 14:00:00,HOLD,EXECUTED,No style eligible per matrix; all false. HOLD mandatory.,0.0,25794.75,NONE,
BACKTEST_20260116_052512,2025-12-10 14:15:00,HOLD,EXECUTED,"No style eligible per matrix; all false. REMR rejected due to location not extreme, ORE/ITC/VBD/LSRM ineligible. Confidence below minimum thresholds.",0.0,25758.099609375,NONE,
BACKTEST_20260116_052512,2025-12-10 14:30:00,HOLD,EXECUTED,Style [LATE_SESSION_RISK_OFF] selected because Time >=14:30 mandates HOLD only. Rejected all others due to eligibility false.,0.25,25751.900390625,NONE,
BACKTEST_20260116_052512,2025-12-10 14:45:00,HOLD,EXECUTED,"Style [LATE_SESSION_RISK_OFF] selected because Time >=14:30 blocks new positions. Rejected [OPENING_RANGE_EXPANSION, RANGE_EXTREME_MEAN_REVERSION, INTRADAY_TREND_CONTINUATION, VOLATILITY_BREAK] because Style Eligibility Matrix is false.",0.25,25756.349609375,NONE,
BACKTEST_20260116_052512,2025-12-10 15:00:00,HOLD,EXECUTED,Style [LATE_SESSION_RISK_OFF] eligible but prohibited after 14:30; all other styles ineligible per matrix.,0.0,25760.650390625,NONE,
BACKTEST_20260116_052512,2025-12-10 15:15:00,HOLD,EXECUTED,Style LSRM active but time >=14:30 prohibits new positions; all other styles ineligible per matrix.,0.0,25762.650390625,NONE,
BACKTEST_20260116_052512,2025-12-11 09:45:00,HOLD,EXECUTED,Style ORE eligible but confidence below minimum threshold of 0.55 due to low micro bias alignment and weak volume expansion.,0.25,25700.55078125,ORE,
BACKTEST_20260116_052512,2025-12-11 10:00:00,HOLD,BLOCKED,Too close to Pivot (17pts),0.55,25723.25,ORE,
BACKTEST_20260116_052512,2025-12-11 10:15:00,HOLD,EXECUTED,Market cooling period (10:00-10:30),0.46,25820.150390625,REMR,
BACKTEST_20260116_052512,2025-12-11 10:30:00,HOLD,EXECUTED,Market cooling period (10:00-10:30),0.48,25812.80078125,REMR,
BACKTEST_20260116_052512,2025-12-11 10:45:00,BUY_PUT,MODIFIED,Target capped by Support,0.48,25829.05078125,REMR,
BACKTEST_20260116_052512,2025-12-11 11:00:00,HOLD,EXECUTED,"Style eligibility all false; no style selected. Rejected ORE, REMR, ITC, VBD, LSRM due to ineligibility.",0.25,25800.599609375,NONE,
BACKTEST_20260116_052512,2025-12-11 11:15:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.25,25799.849609375,NONE,
BACKTEST_20260116_052512,2025-12-11 11:30:00,BUY_PUT,MODIFIED,Target capped by Support,0.48,25829.150390625,REMR,
BACKTEST_20260116_052512,2025-12-11 11:45:00,BUY_PUT,MODIFIED,Target capped by Support,0.45,25831.69921875,REMR,
BACKTEST_20260116_052512,2025-12-11 12:00:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.25,25853.099609375,NONE,
BACKTEST_20260116_052512,2025-12-11 12:15:00,HOLD,EXECUTED,No style eligible per matrix; confidence below minimum thresholds.,0.0,25880.05078125,NONE,
BACKTEST_20260116_052512,2025-12-11 12:30:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.25,25911.900390625,NONE,
BACKTEST_20260116_052512,2025-12-11 12:45:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.25,25894.25,NONE,
BACKTEST_20260116_052512,2025-12-11 13:00:00,HOLD,EXECUTED,"No style eligible per matrix; all false. REMR requires NEAR_RESISTANCE/SUPPORT but location is MID_RANGE, so rejected.",0.0,25875.650390625,NONE,
BACKTEST_20260116_052512,2025-12-11 13:15:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.25,25865.69921875,NONE,
BACKTEST_20260116_052512,2025-12-11 13:30:00,HOLD,EXECUTED,Style eligibility all false; no eligible style to trade.,0.25,25868.94921875,NONE,
BACKTEST_20260116_052512,2025-12-11 13:45:00,HOLD,EXECUTED,"Style ORE false, REMR false, ITC false, VBD false, LSRM false; no eligible style meets minimum confidence threshold.",0.0,25872.30078125,NONE,
BACKTEST_20260116_052512,2025-12-11 14:00:00,HOLD,EXECUTED,"No style eligible per matrix; all false. REMR rejected due to location not near S/R extremes, ORE/ITC/VBD/LSRM ineligible.",0.0,25889.400390625,NONE,
BACKTEST_20260116_052512,2025-12-11 14:15:00,HOLD,EXECUTED,Style eligibility matrix shows no eligible style; confidence below minimum for any style.,0.25,25869.44921875,NONE,
BACKTEST_20260116_052512,2025-12-11 14:30:00,HOLD,EXECUTED,Style LSRM active; no eligible styles meet confidence threshold.,0.0,25917.099609375,NONE,
BACKTEST_20260116_052512,2025-12-11 14:45:00,HOLD,EXECUTED,Style eligibility matrix shows no eligible style; LATE_SESSION_RISK_OFF active at 14:45 IST prevents new positions.,0.25,25878.150390625,NONE,
BACKTEST_20260116_052512,2025-12-11 15:00:00,HOLD,EXECUTED,Style [LATE_SESSION_RISK_OFF] selected because Time >=14:30 mandates HOLD only. Rejected all others due to eligibility false or confidence below minimum.,0.25,25893.150390625,NONE,
BACKTEST_20260116_052512,2025-12-11 15:15:00,HOLD,EXECUTED,Style eligibility matrix shows no eligible style; LATE_SESSION_RISK_OFF true blocks new trades.,0.0,25895.80078125,NONE,
BACKTEST_20260116_052512,2025-12-12 09:45:00,HOLD,BLOCKED,SUBOPTIMAL loc + 0.45 conf,0.45,26017.30078125,REMR,
BACKTEST_20260116_052512,2025-12-12 10:00:00,HOLD,EXECUTED,"Style ORE false, REMR false, ITC false, VBD false, LSRM false; no eligible style. Confidence below minimum thresholds for all styles.",0.25,26006.19921875,NONE,
BACKTEST_20260116_052512,2025-12-12 10:15:00,HOLD,EXECUTED,Market cooling period (10:00-10:30),0.25,26004.5,NONE,
BACKTEST_20260116_052512,2025-12-12 10:30:00,HOLD,EXECUTED,Market cooling period (10:00-10:30),0.48,25965.94921875,REMR,
BACKTEST_20260116_052512,2025-12-12 10:45:00,BUY_CALL,MODIFIED,SL Cap (50pts from 75),0.45,25966.099609375,REMR,
BACKTEST_20260116_052512,2025-12-12 11:00:00,BUY_CALL,MODIFIED,SL Cap (50pts from 75),0.48,25968.80078125,REMR,
